date,,1 year,2 year,3 year,4 year,5 year,6 year,7 year,8 year,9 year,10 year
2015-10-07,-1.0,10.034197505218065,10.001067120625596,10.037717923852865,10.049326827629221,10.037628068554021,10.008255897113827,9.968416534473457,9.9246538799319,9.881937912643316,9.843434753639505
2015-10-08,-1.0,10.059179377229194,10.040542503228375,10.060690043797553,10.055670734556033,10.030792400106545,9.992305085390516,9.94712267640238,9.901175273104197,9.858731655490798,9.822276885501436
2015-10-09,-1.0,9.97309652164664,9.971004963582173,10.009730672393312,10.015335607393927,9.993484113779028,9.951954616304823,9.899343200374872,9.84313827375311,9.788935556554062,9.74028095993845
2015-10-12,-1.0,9.922411008305854,9.993174687295285,10.035675726393391,10.040295550494319,10.01755817175779,9.976710575161912,9.926456318669503,9.873957346525222,9.824364330309342,9.780786417621995
2015-10-13,-1.0,9.99201332707997,10.029109651959644,10.073112053634222,10.080868600792444,10.060446818781312,10.020409278314379,9.969499104617226,9.915150273099428,9.862846486447806,9.816019277531248
2015-10-14,-1.0,9.918214448561328,9.982076610813877,10.015912149801917,10.015825731104401,9.991068576871298,9.950278227598897,9.901591320719588,9.851677846711132,9.805276610637177,9.765166280011854
2015-10-15,-1.0,9.846507120723475,9.889500741429568,9.916614081145125,9.914120761631189,9.890211317593417,9.852546608764847,9.808501934430936,9.764130388690603,9.723681160508967,9.689559603966233
2015-10-16,-1.0,9.766350409829894,9.749933891045679,9.748818259805207,9.729331871094743,9.695943039376814,9.654345110644341,9.610488051515448,9.569276063429928,9.534009112593774,9.50631837747047
2015-10-19,-1.0,9.788285762307247,9.749443999267232,9.739022053403078,9.71536343660421,9.681053358102108,9.640744454373671,9.599632058095766,9.562037454271264,9.53080891512435,9.507237481423209
2015-10-20,-1.0,9.834418618343683,9.771637857150324,9.743972760849148,9.70990957661881,9.671152296982806,9.631078328569172,9.593634431386025,9.562016733844578,9.538117625065928,9.522457220228025
2015-10-21,-1.0,9.847093831058805,9.795381353898476,9.762633527492673,9.725244706923904,9.68505083581169,9.645298186335637,9.609545123189324,9.580564691912778,9.559862145660652,9.547633481105642
2015-10-22,-1.0,9.755034900992095,9.688923170694698,9.67190847414955,9.651744433556926,9.62509248162601,9.594469222288033,9.563768468894345,9.53647630479167,9.514903928280972,9.500019616810565
2015-10-23,-1.0,9.67010306099957,9.60533856976417,9.588224051305255,9.568029595972828,9.54160661838355,9.511494072491812,9.481558386513985,9.455240308942978,9.434801136279042,9.421161119613377
2015-10-26,-1.0,9.741672560995196,9.615205692267134,9.56189856897081,9.521337838939136,9.486372576393027,9.456588364482066,9.433334961384299,9.41791552463959,9.410825465629902,9.411582902958244
2015-10-27,-1.0,9.749137279285048,9.66930926517644,9.629939368455561,9.598295728614756,9.569961509062287,9.545451444764112,9.526453834319321,9.514423560691952,9.509949249570912,9.51262730245346
2015-10-28,-1.0,9.733759386450064,9.618905117674153,9.57629815923708,9.542522622195017,9.510918660017833,9.48172436001271,9.456971414839014,9.438594708865597,9.427637418729867,9.424067926331713
2015-10-29,-1.0,9.776156827841554,9.6804893526071,9.641444349879839,9.60760753516417,9.574133650395876,9.542102251281074,9.514035149819717,9.492186518317991,9.477813561461227,9.471023851280371
2015-10-30,-1.0,9.783605678140795,9.71002824367311,9.684682006090814,9.65489096834156,9.618067229721788,9.577345214135208,9.537091792767143,9.501119277447238,9.471934095579526,9.450590780346404
2015-11-02,-1.0,9.820353803395038,9.702750723300122,9.645822714573313,9.59775203786331,9.553344490791227,9.513323742397024,9.479803864850693,9.454608770527475,9.438570796293892,9.431400278033195
2015-11-03,-1.0,9.686342469549352,9.605562554703662,9.567283906022672,9.520429790181305,9.464568363271342,9.404411435848093,9.345508046150611,9.292494322188782,9.24839064398982,9.214508966444098
2015-11-04,-1.0,9.743660904132446,9.623271160969173,9.531983009887835,9.448977339154947,9.375181459263995,9.312532353806454,9.263012191193882,9.227732736963048,9.206577821301204,9.198248331219327
2015-11-05,-1.0,9.643617884750617,9.544289922855205,9.46971721135879,9.395140558892557,9.321792261765667,9.253402275860076,9.193815972351914,9.145831449237972,9.110742067104642,9.088354387127081
2015-11-06,-1.0,9.755303301991317,9.672976044975453,9.597667428907812,9.516730318118814,9.434524190925146,9.356199152717831,9.286479719838988,9.228734230971359,9.184617163436316,9.154141301382642
2015-11-09,-1.0,9.775744714472658,9.731111554043807,9.678736529020734,9.605798331021006,9.519732541404604,9.428867397660712,9.340821194309031,9.261432443298395,9.194353424266295,9.141125098373815
2015-11-10,-1.0,9.76281349094476,9.675864859604719,9.605058953304448,9.522444142850338,9.432119812152495,9.340769561133605,9.254865341643912,9.179364458988418,9.117224537698341,9.069446505275979
2015-11-11,-1.0,9.751993137925501,9.700264203537156,9.63527892151349,9.544172259134106,9.435924964104393,9.320881777673787,9.208375888927852,9.105571130598285,9.017053568599584,8.944945721592742
2015-11-12,-1.0,9.834568527458737,9.78154279518763,9.733990345449705,9.664585160920492,9.5791376585812,9.48617130997444,9.393899441052392,9.308829316647296,9.235230383375766,9.175161345753102
2015-11-13,-1.0,9.842476612674774,9.81918548094859,9.77005644091565,9.69934084544018,9.614516728687308,9.524254884829165,9.436326697143043,9.356672320230388,9.289023798982138,9.234989457600529
2015-11-16,-1.0,9.896269328670561,9.819684010672418,9.769309533155177,9.703380068120804,9.6247133182364,9.54021638759309,9.45703664061429,9.38094533218897,9.315714643204759,9.263092264259182
2015-11-17,-1.0,9.875760115027019,9.775734910335531,9.717587084934232,9.646961713126586,9.56517026963352,9.478558308738288,9.394004065549016,9.31711408262507,9.251539917933657,9.198931906603208
2015-11-18,-1.0,9.84848169495809,9.741166339818937,9.673613707064717,9.592033518863001,9.49875615470646,9.400873605599434,9.305807631131009,9.219524502911543,9.145878947171092,9.086597669444426
2015-11-19,-1.0,9.83682545063052,9.683858282348666,9.562874995329228,9.44004847197787,9.318095413506462,9.2028050070717,9.099707967824259,9.012758976525955,8.943896733906792,8.893139672955659
2015-11-20,-1.0,9.830585870994648,9.651913726051179,9.527033123000333,9.405190491865485,9.286410756610845,9.175307919687262,9.076760529290384,8.994324064118118,8.929689490768988,8.882730995463946
2015-11-23,-1.0,9.848958409009114,9.738940023002147,9.666793492064516,9.578607260814534,9.477558542982832,9.371427382118004,9.268182549694636,9.174193351128885,9.093585793810187,9.028244511155265
2015-11-24,-1.0,9.908841242107169,9.805279906518741,9.744839816205488,9.672738464487944,9.590074792270647,9.50304544359274,9.4184021673414,9.341644263210721,9.276334694507293,9.224053381529371
2015-11-25,-1.0,9.954138363234486,9.845229702786728,9.778416222729795,9.698065605362896,9.606064069316533,9.50930294451575,9.415096592759692,9.329359611317612,9.25593217290653,9.196551847700082
2015-11-26,-1.0,9.946847317018618,9.83513737399315,9.76352024144953,9.676391247646022,9.576501642206821,9.471431684789696,9.369037652888046,9.275629589089629,9.19531053029689,9.129967659052618
2015-11-27,-1.0,9.97446020760628,9.860486941343305,9.786816926128472,9.697381857302041,9.595047826087471,9.487521005551338,9.382762985408977,9.287160812351111,9.204866856313068,9.137793557192339
2015-11-30,-1.0,10.023551989752965,9.901603061938724,9.818671986831323,9.717818859880918,9.602920752774674,9.482551249694751,9.36536017574351,9.258230860319397,9.165635515487054,9.089655951190302
2015-12-01,-1.0,9.950364987078599,9.832293238866383,9.753075995261321,9.65711217214654,9.547908808259885,9.43363350874431,9.3225820830256,9.2213624226638,9.13425173670808,9.063209729168953
